year,ghg_mt_co2e,renewable_pct,ghg_yoy_change_pct
2010,612.9372,1.3,
2011,647.6916,1.4,5.670140432005111
2012,645.2115,1.6,-0.3829137200482391
2013,642.0472,1.9,-0.49042833241503825
2014,630.5865,2.9,-1.7850245277917232
2015,643.7994,2.7,2.0953350571253804
2016,648.8158,2.6,0.7791868088103282
2017,665.288,2.8,2.538809936502795
2018,680.496,3.2,2.2859272976515355
2019,654.9901,3.2,-3.7481337142319715
2020,617.3408,3.6,-5.748071612074757
2021,638.7702,3.6,3.471243112394329
2022,613.5467,3.6,-3.948759663490886
